	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000229344	24.5825930631613	3.23369845983375	1.09948021529048	2.94111564252152	0.00327032417762347	0.049316882613523
ENSG00000187961	222.925057849418	1.73288578829643	0.539833292975701	3.21003874871131	0.00132717080100926	0.028323159984369
ENSG00000131591	259.228121337143	1.70263811272626	0.508127176373978	3.3508109620831	0.000805752864150766	0.0199915304963663
ENSG00000205231	22.4857646752628	-3.35485561075312	1.10442730143504	-3.0376427732219	0.00238436424040716	0.0406403973261514
ENSG00000162571	77.5847342711238	-2.36236998781044	0.796564794520943	-2.96569720888955	0.00301997656160977	0.0470728974263869
ENSG00000186891	119.867752034163	2.81790804092817	0.929375956362352	3.03204319160319	0.00242904444587473	0.0411966596297981
ENSG00000186827	84.6889234956765	2.32702089260143	0.676365367413919	3.44047907346112	0.000580685339676827	0.0158870459267655
ENSG00000162572	139.997912214661	2.46151371059348	0.674001648943495	3.65208855861396	0.000260116145140266	0.00883512545630433
ENSG00000131584	1679.62872936809	1.41584142033284	0.471773476384592	3.00110432486169	0.00269002386094606	0.0440126583732436
ENSG00000107404	1081.76462538784	1.23634493392475	0.407039779839776	3.03740566686484	0.00238624080127762	0.0406403973261514
ENSG00000175756	553.261822539877	1.22969510105664	0.408035136881914	3.01369904183647	0.00258083685198733	0.0428851624131804
ENSG00000221978	8200.92980920594	1.17511258263739	0.372408612546517	3.1554387923577	0.00160256887512741	0.03183527487078
ENSG00000272455	46.6901024776357	2.2751543512779	0.77165147717268	2.94842220689324	0.00319400516007209	0.0486980963632511
ENSG00000160072	709.945515300908	1.44367175858947	0.450046173080928	3.20783031817909	0.00133740379794382	0.0284646101409229
ENSG00000169885	36.5383843404211	4.14128109692767	1.1643632517662	3.55669168590288	0.000375554478461335	0.0117076653291689
ENSG00000142609	216.465548051153	-4.17274561695456	1.09727206155073	-3.80283592663189	0.000143049100277332	0.00583548972581543
ENSG00000182873	308.410264483794	1.7181340548139	0.576523875736545	2.98016114704508	0.00288096781871957	0.0456162349184104
ENSG00000238164	346.951027531819	1.68262152589082	0.46568488268748	3.61321912830918	0.000302418917696951	0.00990896958993166
ENSG00000157873	2152.63226753256	1.77120208621511	0.426379394539294	4.15405178791276	3.2663919739042e-05	0.00194684738768437
ENSG00000130762	282.802684557903	1.51637271168373	0.460840431597769	3.29045068035014	0.00100027034853545	0.0232495521215301
ENSG00000078900	104.405525810644	-2.77338010691855	0.526841446993841	-5.26416462247508	1.40828220631112e-07	2.73283166438654e-05
ENSG00000272153	58.5516600147615	1.80313762862382	0.511736495014323	3.52356661326911	0.000425780054594883	0.0129194570989984
ENSG00000187017	52.2109859757275	-2.25516702742555	0.584730171227706	-3.85676528832192	0.000114897390251391	0.004950475680143
ENSG00000215788	558.030787396667	2.2099626944052	0.612416626841695	3.60859355795456	0.000307861491271458	0.0100347613424459
ENSG00000284693	18.7719129057545	-7.60120763392765	1.51392275320283	-5.02086887712512	5.14382657313515e-07	7.99785159039082e-05
ENSG00000271895	136.875372786826	2.17796901092205	0.505628827503271	4.30744627769064	1.65150189392043e-05	0.00117448996904858
ENSG00000116691	526.901314494343	1.68794609767009	0.440307667348338	3.83356053696589	0.000126301699955754	0.00531379908402081
ENSG00000157330	64.8835921223866	-5.61472838064718	1.19533202799148	-4.69721236373265	2.63736203919883e-06	0.00028094078266921
ENSG00000142621	480.493203292581	-2.20467104756016	0.660367139167426	-3.33855353605232	0.000842158004505923	0.0205274988576405
ENSG00000186301	127.184295780058	1.73140692661682	0.479751839364957	3.60896360274235	0.000307422733880408	0.0100335245074684
ENSG00000236698	137.252145023755	-1.81990849163841	0.546459684678819	-3.33036185955431	0.000867331878887009	0.0209776994436507
ENSG00000186715	339.055547583653	2.47989243685889	0.781906203057862	3.17159836711945	0.00151602515084614	0.0307541795795231
ENSG00000127481	4703.25588617447	-1.17075728361179	0.392097501285873	-2.98588305146634	0.00282760757497329	0.0451425385359096
ENSG00000162543	657.317762181523	-2.458752810807	0.615373409016206	-3.99554607784856	6.45453012185737e-05	0.00322507490100709
ENSG00000117298	3863.53992534138	-1.40004846531278	0.473859727180275	-2.95456310170911	0.00313112114080661	0.0481536276880729
ENSG00000169641	1556.71324913692	-2.13528146682666	0.478967056072847	-4.45809673077371	8.26905875690626e-06	0.000689997826205448
ENSG00000117308	564.090372242502	1.25597317315067	0.344841926568312	3.64217073500739	0.000270348661370202	0.00908407790614803
ENSG00000142675	682.336360134888	1.61587589564978	0.381270189338347	4.23813857163594	2.25380651570923e-05	0.001490017939825
ENSG00000169442	1022.44963478061	1.60671322236013	0.519534802777598	3.09259979075536	0.00198411512548002	0.0363072762691091
ENSG00000197989	1027.09347254046	1.76101686888647	0.592127948358452	2.97404787895676	0.00293899212725355	0.0461867278513408
ENSG00000221539	29.3283870062454	4.51454018745594	1.19735962513574	3.77041290910751	0.000162977671253954	0.00631551090479911
ENSG00000025800	1990.63737345551	-1.07843194827117	0.360123229733103	-2.99461922817481	0.00274787638212677	0.0444469372337339
ENSG00000222046	60.8457163450094	-2.29564935399256	0.769855472807211	-2.98192249724701	0.00286444503188868	0.0454408444127181
ENSG00000225828	157.019173027957	1.84814878057147	0.508439089495774	3.63494628708486	0.000278038558007572	0.00924422699497725
ENSG00000228348	9.68543798948515	-6.64779842839438	1.67680215765137	-3.9645693429365	7.35285710035824e-05	0.00358101306990793
ENSG00000116819	105.652314049402	1.72558922089879	0.4942932964058	3.49102290774774	0.000481174994777434	0.013973467362185
